unique_id,fieldguide,english_common,latin_species,length,order,family,family_english,voice,warblish,usable,voice_reduced,non_vocalization,distance_amplitude,namesake,qualifies_as_song,mimicry,comparison,comparison_type,comparison_expression,comparand,comp_construction,comp_dimension,duplicated_comparison,comments
id_2609,mackinnon_china,Ratchet-tailed Treepie,Temnurus temnurus,30,Passeriformes,Corvidae,"Crows, Jays",The species makes an amazing range of extraordinary cranking; and honking calls; and whistles.,NO,yes,extraordinary cranking; and honking calls; and whistles,NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4069,national_geographic_america,Bushtit,Psaltriparus minimus,11cm,Passeriformes,Aegithalidae,Bushtits,"Calls from coastal slope birds a rapid, soft twittering, given in loud, excited chatter when raptor appears; interior birds give sharper notes.",NO,yes,"a rapid, soft twittering, given in loud, excited chatter; sharper notes",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2369,holden_cleeves_birds,Redstart,Phoenicurus phoenicurus,14cm,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers","Call a rather sweet, warbler-like ""hooweet""; Song a loud warble ending with distinctive mechanical jangle.",NO,yes,"a rather sweet ""hooweet""; a loud warble ending with distinctive mechanical jangle",NA,NA,NA,NA,NA,comparison,to_other_bird_category,"sweet, warbler-like ""hooweet""",warbler,C-like O,none,NA,NA
id_5273,sibley_birds,Cinnamon Teal,Spatula cyanoptera,16,NA,NA,NA,"Female quack like Blue-winged; Male in display gives a dry, chattering or rattling ""gredek gredek..."", vaguely reminiscent of Northern Shoveler, unlike the whistle of Blue-winged.",NO,yes,"quack; a dry, chattering or rattling ""gredek gredek...""",NA,NA,NA,NA,NA,comparison,to_similar_species;to_similar_species;to_similar_species,"Female quack like Blue-winged;""gredek gredek..."", vaguely reminiscent of Northern Shoveler, unlike the whistle of Blue-winged;""gredek gredek..."", vaguely reminiscent of Northern Shoveler, unlike the whistle of Blue-winged",Blue-winged Teal;Northern Shoveler;Blue-winged Teal,"B quack like C;O, reminiscent of C1 unlike the N of C2;O, reminiscent of C1 unlike the N of C2",none;none;none,yes,NA
id_1098,collins_british_common,Grey Heron,Ardea cinerea,90-98cm,Pelecaniformes,Ardeidae,"Herons, Bitterns","Utters a harsh and distinctive ""krrarnk"", typically in flight.",NO,yes,"a harsh and distinctive ""krrarnk""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_1252,collins_british_common,Blackbird,Turdus merula,25-28cm,Passeriformes,Turdidae,Thrushes,"Utters a harsh and repeated ""tchak"" alarm call, often at dusk or if it is disturbed by a prowling cat. Male is an excellent songster with a rich and varied repertoire.",NO,yes,"a harsh and repeated ""tchak""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_634,bruun_hamlyn_guide,Night Heron,Nycticorax nycticorax,61,Pelecaniformes,Ardeidae,"Herons, Bitterns","The call is a characteristic ""quock"".",NO,yes,"a characteristic ""quock""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2097,felix_hisek_birds,Water Pipit,Anthus spinoletta,16,Passeriformes,Motacillidae,"Wagtails, Pipits","Courting note that sounds like ""tseep-eep"".",NO,yes,"sounds like ""tseep-eep""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5248,sibley_birds,Tundra Bean-Goose,Anser serrirostris,NA,Anseriformes,Anatidae,"Ducks, Geese, Swans",Very similar to Greater White-fronted Goose but slightly lower-pitched.,NO,yes,lower-pitched,NA,NA,NA,NA,NA,qualified_comparison_only,to_similar_species,Very similar to Greater White-fronted Goose but slightly lower-pitched,Greater White-fronted Goose,similar to C but X-er,lower,NA,NA
id_5423,sibley_birds,Roseate Spoonbill,Platalea ajaja,32,Pelecaniformes,Threskiornithidae,"Ibises, Spoonbills","Low, ibis-like grunting ""huh-huh-huh-huh"" without change in pitch or volume; Also a fairly rapid, dry, rasping ""rrek-ek-ek-ek-ek-ek"", much lower, rougher, faster than ibises.",NO,yes,"Low, grunting ""huh-huh-huh-huh"" without change in pitch or volume;  fairly rapid, dry, rasping ""rrek-ek-ek-ek-ek-ek"", much lower, rougher, faster",NA,NA,NA,NA,NA,comparison,to_other_bird_category;to_other_bird_category,"Low, ibis-like grunting ""huh-huh-huh-huh"";rapid, dry, rasping ""rrek-ek-ek-ek-ek-ek"", much lower, rougher, faster than ibises",ibis;ibis,"C-like O;O, X-er than C",none;lower&rougher&faster,NA,NA
id_6168,simpson_day_australian,Striated Heron,Butorides striata,to 49cm,NA,NA,NA,Variety of sharp calls.,NO,yes,sharp calls,NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3911,national_geographic_america,Golden-fronted Woodpecker,Melanerpes aurifrons,25cm,Piciformes,Picidae,Woodpeckers,"Calls, a rolling ""churr-churr""; and cackling ""kek-kek"", are slightly louder and raspier than Red-bellied.",NO,yes,"a rolling ""churr-churr""; and cackling ""kek-kek"", are louder and raspier",NA,NA,NA,NA,NA,comparison,to_similar_species,are slightly louder and raspier than Red-bellied.,Red-bellied Woodpecker,X-er than C,louder&raspier,NA,NA
id_356,allabout_birds,McCown's Longspur,Rhynchophanes mccownii,15,Passeriformes,Calcariidae,"Longspurs, Snow Buntings","The commonly heard calls are a quick ""whit""; a sharp, two-noted ""prit-tup""; and a dry rattle that recalls rattles of other longspurs and Snow Bunting; Males sing a tinkling, warbling song, *see, see, see me, see me, hear me, hear me, see*. When sung in the air, this song is a bit more complex in structure than when it is sung on the ground. Females sometimes also sing a similar song from the nest.",NO,yes,"a quick ""whit""; a sharp, two-noted ""prit-tup""; a dry rattle; sing a tinkling, warbling song, *see, see, see me, see me, hear me, hear me, see*. a bit more complex in structure.",NA,NA,NA,NA,NA,comparison,to_superordinate;to_similar_species,a dry rattle that recalls rattles of other longspurs and Snow Bunting;a dry rattle that recalls rattles of other longspurs and Snow Bunting,other longspurs;Snow Bunting,O that recalls O of C;O that recalls O of C,none;none,NA,NA
id_5721,sibley_birds,Peregrine Falcon,Falco peregrinus,16,Falconiformes,Falconidae,"Caracaras, Falcons","Alarm a slow, scolding ""rehk rehk rehk..."", harsh, raucous, each note rising; In aggression a hard, mechanical ""wiSHEP koCHE koCHE koCHEcheche"". Juvenile call similar to adult.",NO,yes,"a slow, scolding ""rehk rehk rehk..."", harsh, raucous, each note rising; a hard, mechanical ""wiSHEP koCHE koCHE koCHEcheche""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
